id	rate
1001	0.012
1003	0.013
1005	0.02
1007	0.02
1009	0.021
1011	0.021
1013	0.022
1015	0.022
1017	0.022
1019	0.023
1021	0.024
1023	0.024
1025	0.025
1027	0.025
1029	0.025
1031	0.025
1033	0.026
1035	0.026
1037	0.026
1039	0.026
1041	0.027
1043	0.027
1045	0.027
1047	0.027
1049	0.027
1051	0.027
1053	0.027
1055	0.027
1057	0.028
1059	0.028
1061	0.028
1063	0.028
1065	0.028
1067	0.028
1069	0.028
1071	0.029
1073	0.029
1075	0.029
1077	0.029
1079	0.029
1081	0.029
1083	0.029
1085	0.03
1087	0.03
1089	0.03
1091	0.03
1093	0.03
1095	0.03
1097	0.03
1099	0.03
1101	0.031
1103	0.031
1105	0.031
1107	0.031
1109	0.031
1111	0.031
1113	0.031
1115	0.031
1117	0.031
1119	0.031
1121	0.031
1123	0.031
1125	0.031
1127	0.032
1129	0.032
1131	0.032
1133	0.032
2013	0.032
2016	0.032
2020	0.032
2050	0.032
2060	0.032
2068	0.032
2070	0.032
2090	0.032
2100	0.032
2110	0.032
2122	0.033
2130	0.033
2150	0.033
2164	0.033
2170	0.033
2180	0.033
2185	0.033
2188	0.034
2201	0.034
2220	0.034
2232	0.034
2240	0.034
2261	0.034
2270	0.034
2280	0.034
2282	0.034
2290	0.034
4001	0.034
4003	0.034
4005	0.035
4007	0.035
4009	0.035
4011	0.035
4012	0.035
4013	0.035
4015	0.035
4017	0.035
4019	0.035
4021	0.035
4023	0.035
4025	0.036
4027	0.036
5001	0.036
5003	0.036
5005	0.036
5007	0.036
5009	0.036
5011	0.036
5013	0.036
5015	0.036
5017	0.036
5019	0.036
5021	0.036
5023	0.036
5025	0.036
5027	0.036
5029	0.036
5031	0.037
5033	0.037
5035	0.037
5037	0.037
5039	0.037
5041	0.037
5043	0.037
5045	0.037
5047	0.037
5049	0.037
5051	0.037
5053	0.037
5055	0.038
5057	0.038
5059	0.038
5061	0.038
5063	0.038
5065	0.038
5067	0.038
5069	0.038
5071	0.038
5073	0.038
5075	0.038
5077	0.038
5079	0.038
5081	0.038
5083	0.038
5085	0.038
5087	0.039
5089	0.039
5091	0.039
5093	0.039
5095	0.039
5097	0.039
5099	0.039
5101	0.039
5103	0.039
5105	0.039
5107	0.039
5109	0.039
5111	0.039
5113	0.039
5115	0.04
5117	0.04
5119	0.04
5121	0.04
5123	0.04
5125	0.04
5127	0.04
5129	0.04
5131	0.04
5133	0.04
5135	0.04
5137	0.04
5139	0.04
5141	0.04
5143	0.04
5145	0.04
5147	0.04
5149	0.04
6001	0.041
6003	0.041
6005	0.041
6007	0.041
6009	0.041
6011	0.041
6013	0.041
6015	0.041
6017	0.041
6019	0.041
6021	0.041
6023	0.041
6025	0.041
6027	0.041
6029	0.041
6031	0.042
6033	0.042
6035	0.042
6037	0.042
6039	0.042
6041	0.042
6043	0.042
6045	0.042
6047	0.042
6049	0.042
6051	0.042
6053	0.042
6055	0.042
6057	0.042
6059	0.042
6061	0.042
6063	0.042
6065	0.042
6067	0.042
6069	0.042
6071	0.001
6073	0.043
6075	0.043
6077	0.043
6079	0.043
6081	0.043
6083	0.043
6085	0.043
6087	0.043
6089	0.043
6091	0.043
6093	0.043
6095	0.043
6097	0.043
6099	0.043
6101	0.043
6103	0.043
6105	0.043
6107	0.043
6109	0.043
6111	0.043
6113	0.043
6115	0.043
8001	0.043
8003	0.043
8005	0.044
8007	0.044
8009	0.044
8011	0.044
8013	0.044
8014	0.044
8015	0.044
8017	0.044
8019	0.044
8021	0.044
8023	0.044
8025	0.044
8027	0.044
8029	0.044
8031	0.044
8033	0.044
8035	0.044
8037	0.044
8039	0.044
8041	0.044
8043	0.044
8045	0.044
8047	0.045
8049	0.045
8051	0.045
8053	0.045
8055	0.045
8057	0.045
8059	0.045
8061	0.045
8063	0.045
8065	0.045
8067	0.045
8069	0.045
8071	0.045
8073	0.045
8075	0.045
8077	0.045
8079	0.045
8081	0.045
8083	0.045
8085	0.045
8087	0.045
8089	0.045
8091	0.045
8093	0.045
8095	0.046
8097	0.046
8099	0.046
8101	0.046
8103	0.046
8105	0.046
8107	0.046
8109	0.046
8111	0.046
8113	0.046
8115	0.046
8117	0.046
8119	0.047
8121	0.047
8123	0.047
8125	0.047
9001	0.047
9003	0.047
9005	0.047
9007	0.047
9009	0.047
9011	0.047
9013	0.047
9015	0.047
10001	0.047
10003	0.047
10005	0.047
11001	0.047
12001	0.047
12003	0.047
12005	0.047
12007	0.047
12009	0.047
12011	0.047
12013	0.047
12015	0.048
12017	0.048
12019	0.048
12021	0.048
12023	0.048
12027	0.048
12029	0.048
12031	0.048
12033	0.048
12035	0.048
12037	0.048
12039	0.048
12041	0.048
12043	0.048
12045	0.048
12047	0.048
12049	0.048
12051	0.049
12053	0.049
12055	0.049
12057	0.049
12059	0.049
12061	0.049
12063	0.049
12065	0.049
12067	0.049
12069	0.049
12071	0.049
12073	0.049
12075	0.049
12077	0.049
12079	0.049
12081	0.049
12083	0.049
12085	0.05
12086	0.05
12087	0.05
12089	0.05
12091	0.05
12093	0.05
12095	0.05
12097	0.05
12099	0.05
12101	0.05
12103	0.05
12105	0.05
12107	0.05
12109	0.05
12111	0.05
12113	0.05
12115	0.05
12117	0.05
12119	0.05
12121	0.05
12123	0.051
12125	0.051
12127	0.051
12129	0.051
12131	0.051
12133	0.051
13001	0.051
13003	0.051
13005	0.051
13007	0.051
13009	0.051
13011	0.051
13013	0.051
13015	0.051
13017	0.051
13019	0.051
13021	0.051
13023	0.051
13025	0.051
13027	0.051
13029	0.051
13031	0.051
13033	0.051
13035	0.051
13037	0.051
13039	0.051
13043	0.051
13045	0.051
13047	0.051
13049	0.051
13051	0.051
13053	0.052
13055	0.052
13057	0.052
13059	0.052
13061	0.052
13063	0.052
13065	0.052
13067	0.052
13069	0.052
13071	0.052
13073	0.052
13075	0.052
13077	0.052
13079	0.052
13081	0.052
13083	0.052
13085	0.052
13087	0.052
13089	0.052
13091	0.053
13093	0.053
13095	0.053
13097	0.053
13099	0.053
13101	0.053
13103	0.053
13105	0.053
13107	0.053
13109	0.053
13111	0.053
13113	0.053
13115	0.053
13117	0.053
13119	0.053
13121	0.053
13123	0.053
13125	0.053
13127	0.053
13129	0.053
13131	0.053
13133	0.053
13135	0.053
13137	0.054
13139	0.054
13141	0.054
13143	0.054
13145	0.054
13147	0.054
13149	0.054
13151	0.054
13153	0.054
13155	0.054
13157	0.054
13159	0.054
13161	0.054
13163	0.054
13165	0.054
13167	0.054
13169	0.054
13171	0.054
13173	0.054
13175	0.054
13177	0.055
13179	0.055
13181	0.055
13183	0.055
13185	0.055
13187	0.055
13189	0.055
13191	0.055
13193	0.055
13195	0.055
13197	0.055
13199	0.055
13201	0.055
13205	0.055
13207	0.055
13209	0.055
13211	0.055
13213	0.055
13215	0.055
13217	0.055
13219	0.055
13221	0.055
13223	0.055
13225	0.055
13227	0.056
13229	0.056
13231	0.056
13233	0.056
13235	0.056
13237	0.056
13239	0.056
13241	0.056
13243	0.056
13245	0.056
13247	0.056
13249	0.056
13251	0.056
13253	0.056
13255	0.056
13257	0.056
13259	0.056
13261	0.056
13263	0.056
13265	0.056
